Temperature,Humidity,Moisture,Soil_pH,Electrical_Conductivity,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Sulfur,Zinc,Iron,Soil_Type,Crop_Type,Soil_Health_Score,Soil_Health_Category,Recommended_Fertilizer,Fertilizer_Amount_kg_per_acre,Recommendation_Reason
23.35,58.82,22,8.34,2.21,0.12,88,16,82,28.79,1.47,9.19,Laterite,Maize,44,Poor,Vermicompost,150,Improve deficient nutrients.
27.03,43.98,39,8.22,1.57,0.15,106,14,93,8.26,1.18,4.71,Silty,Potato,29,Poor,Vermicompost,150,Improve deficient nutrients.
18.55,77.52,32,4.96,1.66,0.4,156,13,120,25.9,1.27,3.2,Laterite,Wheat,57,Poor,NPK 10-26-26,150,Improve deficient nutrients.
20.19,53.36,38,6.03,1.27,0.58,186,25,181,25.91,1.09,4.63,Black,Sugarcane,68,Healthy,DAP,100,Correct moderate nutrient imbalance.
29.32,31.66,47,6.87,1.34,0.63,189,28,192,13.15,2.03,7.58,Black,Tomato,74,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
37.82,94.33,31,4.82,1.92,0.32,87,10,54,21.98,1.55,2.29,Loamy,Sugarcane,49,Poor,NPK 10-26-26,150,Improve deficient nutrients.
35.75,65.23,25,8.69,1.73,0.23,93,17,69,19.29,0.4,9.0,Silty,Soybean,44,Poor,Urea,150,Improve deficient nutrients.
39.87,55.77,49,7.26,0.89,0.87,217,24,156,24.05,1.85,6.98,Silty,Groundnut,77,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
29.24,55.64,30,8.24,2.41,0.18,100,17,78,14.35,0.92,6.19,Sandy,Millet,28,Poor,DAP,150,Improve deficient nutrients.
23.53,40.32,48,5.99,1.41,0.8,269,23,120,11.68,1.55,4.92,Loamy,Maize,78,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
22.29,37.49,56,7.14,0.75,1.18,331,60,188,20.09,2.06,7.75,Loamy,Rice,95,Excellent,Compost,500,Maintain soil organic matter.
21.58,32.01,20,8.26,2.8,0.38,179,16,107,18.47,0.53,5.88,Clay,Millet,29,Poor,Urea,150,Improve deficient nutrients.
25.62,65.71,62,7.17,0.42,1.43,354,58,257,21.61,1.25,5.33,Loamy,Maize,92,Excellent,Compost,500,Maintain soil organic matter.
32.51,38.16,56,7.0,0.78,1.36,412,42,242,8.91,1.95,2.24,Loamy,Sugarcane,92,Excellent,Compost,500,Maintain soil organic matter.
28.36,65.31,32,8.02,2.36,0.23,134,10,109,8.17,0.43,4.14,Clay,Sugarcane,54,Poor,Urea,150,Improve deficient nutrients.
39.27,84.42,38,6.86,0.72,0.63,286,26,179,26.49,1.97,4.96,Silty,Cotton,76,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
32.19,75.63,41,6.69,1.39,0.65,227,15,160,21.36,2.25,8.61,Loamy,Rice,78,Healthy,DAP,100,Correct moderate nutrient imbalance.
36.69,58.9,23,8.25,2.84,0.43,136,8,58,11.37,0.89,5.56,Red,Rice,52,Poor,DAP,150,Improve deficient nutrients.
32.01,57.33,69,7.18,0.84,0.94,360,38,320,26.95,1.8,9.64,Red,Maize,88,Excellent,Compost,500,Maintain soil organic matter.
22.07,37.14,24,4.82,1.97,0.28,130,18,108,29.16,2.17,9.79,Laterite,Groundnut,32,Poor,Vermicompost,150,Improve deficient nutrients.
20.27,30.64,45,7.73,0.63,0.63,199,16,206,5.24,0.74,7.08,Black,Millet,62,Healthy,DAP,100,Correct moderate nutrient imbalance.
25.74,94.67,57,6.31,1.39,0.66,184,21,129,9.12,1.74,5.99,Silty,Millet,70,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
18.04,93.08,58,7.14,0.72,1.38,413,47,207,24.28,2.28,9.51,Black,Millet,80,Excellent,Compost,500,Maintain soil organic matter.
27.83,53.93,53,7.19,0.44,1.3,418,38,240,27.98,0.9,3.62,Red,Sugarcane,86,Excellent,Compost,500,Maintain soil organic matter.
28.61,67.1,56,7.02,0.49,1.17,395,36,287,12.95,2.1,7.33,Loamy,Tomato,89,Excellent,Compost,500,Maintain soil organic matter.
26.1,51.57,34,4.84,2.92,0.16,77,7,40,22.18,2.37,8.2,Laterite,Potato,37,Poor,MOP,150,Improve deficient nutrients.
33.22,57.93,19,5.5,1.67,0.3,67,6,108,13.15,2.26,9.18,Black,Wheat,58,Poor,MOP,150,Improve deficient nutrients.
20.09,85.87,50,5.92,0.94,0.81,212,32,178,20.73,2.42,5.14,Black,Rice,76,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
18.26,90.66,57,6.21,0.64,0.84,203,22,174,29.76,0.71,9.98,Black,Potato,67,Healthy,DAP,100,Correct moderate nutrient imbalance.
27.39,46.16,32,4.87,2.43,0.21,51,14,117,12.8,0.86,3.52,Clay,Maize,34,Poor,Urea,150,Improve deficient nutrients.
28.42,89.5,57,7.11,0.5,1.16,417,49,211,7.32,1.74,6.84,Sandy,Soybean,85,Excellent,Compost,500,Maintain soil organic matter.
22.69,84.74,47,7.69,1.46,0.7,287,35,219,19.14,0.36,8.07,Silty,Tomato,72,Healthy,DAP,100,Correct moderate nutrient imbalance.
25.56,42.59,51,5.87,1.29,0.53,286,33,182,28.58,0.68,3.5,Silty,Millet,68,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
22.73,80.29,58,6.49,1.37,0.54,279,34,120,23.87,2.2,2.04,Sandy,Soybean,73,Healthy,DAP,100,Correct moderate nutrient imbalance.
18.11,35.01,35,7.33,1.15,0.85,292,35,129,17.93,0.59,6.32,Red,Wheat,67,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
39.2,43.3,70,6.4,0.68,1.49,295,32,250,24.45,0.83,4.87,Clay,Potato,93,Excellent,Compost,500,Maintain soil organic matter.
32.23,68.89,35,8.44,1.73,0.37,150,6,95,9.66,2.31,4.89,Loamy,Maize,26,Poor,NPK 10-26-26,150,Improve deficient nutrients.
30.1,80.67,15,8.34,1.52,0.31,55,18,72,14.08,1.98,4.78,Loamy,Sugarcane,36,Poor,MOP,150,Improve deficient nutrients.
21.84,94.5,26,4.99,1.97,0.36,178,13,77,17.33,1.1,2.91,Loamy,Millet,32,Poor,DAP,150,Improve deficient nutrients.
36.59,77.98,51,5.87,1.22,0.54,250,29,171,9.36,0.97,5.95,Silty,Sugarcane,71,Healthy,DAP,100,Correct moderate nutrient imbalance.
38.01,82.51,59,6.51,0.21,1.09,350,44,270,18.82,1.88,5.48,Red,Wheat,80,Excellent,Compost,500,Maintain soil organic matter.
38.54,91.0,61,6.84,0.43,1.08,382,56,201,7.13,0.31,3.55,Laterite,Groundnut,82,Excellent,Compost,500,Maintain soil organic matter.
18.88,34.14,69,6.5,0.97,1.5,306,29,269,24.0,1.08,9.24,Red,Rice,83,Excellent,Compost,500,Maintain soil organic matter.
38.54,94.44,32,8.49,1.66,0.4,59,18,111,24.78,1.89,8.76,Clay,Millet,50,Poor,NPK 10-26-26,150,Improve deficient nutrients.
29.66,35.85,33,5.47,1.53,0.25,51,6,107,19.47,2.21,4.39,Loamy,Cotton,49,Poor,Urea,150,Improve deficient nutrients.
18.77,34.5,20,8.57,1.96,0.33,41,13,116,29.26,1.59,4.18,Loamy,Sugarcane,36,Poor,Vermicompost,150,Improve deficient nutrients.
28.05,51.47,68,6.61,0.33,1.2,287,39,284,9.7,1.19,4.86,Black,Millet,94,Excellent,Compost,500,Maintain soil organic matter.
24.54,65.77,25,4.96,2.72,0.44,164,15,59,13.78,1.43,5.49,Clay,Sugarcane,55,Poor,NPK 10-26-26,150,Improve deficient nutrients.
23.08,61.31,25,8.55,2.08,0.17,53,10,119,8.77,0.48,8.2,Silty,Sugarcane,56,Poor,MOP,150,Improve deficient nutrients.
36.35,39.43,43,6.04,0.76,0.83,263,25,174,14.86,0.88,2.95,Sandy,Millet,70,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
38.55,43.92,30,8.53,2.94,0.4,85,5,119,29.01,1.8,3.68,Sandy,Soybean,59,Poor,DAP,150,Improve deficient nutrients.
22.16,84.76,48,6.59,0.21,1.03,381,52,258,20.47,0.43,9.7,Silty,Tomato,98,Excellent,Compost,500,Maintain soil organic matter.
20.03,68.73,46,7.12,0.95,0.81,221,16,124,9.03,0.78,8.52,Loamy,Rice,75,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
33.59,82.73,15,8.08,1.68,0.11,104,17,46,25.86,1.26,4.02,Red,Cotton,59,Poor,MOP,150,Improve deficient nutrients.
29.34,37.41,30,8.25,1.67,0.15,63,8,52,27.7,1.08,4.61,Black,Wheat,20,Poor,MOP,150,Improve deficient nutrients.
32.14,53.42,48,6.03,0.67,0.59,210,29,173,15.06,1.24,3.51,Silty,Potato,73,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
29.14,50.21,45,6.86,0.74,1.04,367,30,268,11.25,0.67,9.34,Loamy,Wheat,85,Excellent,Compost,500,Maintain soil organic matter.
21.55,41.63,49,6.74,1.34,0.87,285,22,196,29.36,0.52,5.31,Silty,Soybean,71,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
19.95,64.16,59,6.4,0.67,0.75,208,21,121,26.53,1.66,4.04,Sandy,Millet,75,Healthy,DAP,100,Correct moderate nutrient imbalance.
37.22,30.17,48,6.34,0.71,0.81,391,56,181,17.76,2.31,4.64,Black,Soybean,87,Excellent,Compost,500,Maintain soil organic matter.
20.91,63.9,40,7.43,0.55,0.53,286,28,201,6.56,2.4,8.21,Laterite,Rice,79,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
28.69,65.74,29,5.34,2.27,0.17,171,18,99,26.95,1.81,8.23,Red,Groundnut,44,Poor,MOP,150,Improve deficient nutrients.
25.1,80.82,31,4.93,1.53,0.27,139,13,53,15.23,0.24,4.71,Clay,Tomato,28,Poor,MOP,150,Improve deficient nutrients.
23.13,43.6,36,6.63,0.78,0.6,226,33,153,5.62,0.38,3.97,Laterite,Wheat,64,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
20.71,42.95,38,6.24,1.11,0.69,270,15,211,16.83,0.47,7.37,Silty,Potato,60,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
37.63,55.94,41,7.51,0.73,0.53,282,30,168,13.91,1.93,8.18,Laterite,Sugarcane,72,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
34.16,87.91,32,8.77,1.92,0.11,79,14,65,23.22,1.34,4.11,Silty,Soybean,36,Poor,NPK 10-26-26,150,Improve deficient nutrients.
31.44,58.58,68,6.25,0.68,1.13,378,25,314,23.98,0.9,8.66,Clay,Sugarcane,81,Excellent,Compost,500,Maintain soil organic matter.
20.89,70.53,52,6.51,0.83,0.89,281,30,193,12.77,0.9,5.82,Clay,Cotton,75,Healthy,DAP,100,Correct moderate nutrient imbalance.
28.61,33.01,53,6.22,0.68,0.8,239,25,167,28.84,0.23,7.93,Loamy,Groundnut,78,Healthy,DAP,100,Correct moderate nutrient imbalance.
27.28,62.91,30,8.22,1.7,0.39,161,6,111,9.66,1.09,2.08,Laterite,Groundnut,36,Poor,DAP,150,Improve deficient nutrients.
23.39,59.71,64,6.47,0.91,0.82,419,45,310,11.93,2.25,2.83,Loamy,Maize,97,Excellent,Compost,500,Maintain soil organic matter.
23.64,53.96,19,4.97,1.79,0.41,71,16,56,20.02,1.73,9.48,Red,Cotton,49,Poor,Vermicompost,150,Improve deficient nutrients.
25.6,55.01,59,6.27,0.21,1.2,374,40,282,9.45,2.44,2.82,Sandy,Soybean,81,Excellent,Compost,500,Maintain soil organic matter.
29.55,50.59,70,7.12,0.34,1.39,380,41,291,12.37,0.49,4.13,Black,Rice,84,Excellent,Compost,500,Maintain soil organic matter.
30.48,37.5,32,5.05,2.29,0.5,64,16,94,17.74,1.32,3.84,Laterite,Groundnut,42,Poor,Vermicompost,150,Improve deficient nutrients.
18.49,82.81,38,8.41,2.98,0.39,113,17,59,14.27,1.14,6.11,Black,Potato,35,Poor,Vermicompost,150,Improve deficient nutrients.
34.29,86.86,43,6.75,0.61,0.74,233,30,181,16.17,0.54,5.47,Black,Wheat,79,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
35.22,38.72,70,6.43,0.29,0.9,405,29,208,17.7,1.26,5.44,Silty,Rice,93,Excellent,Compost,500,Maintain soil organic matter.
33.31,51.95,49,7.29,0.75,0.67,217,30,154,11.02,2.01,7.09,Laterite,Cotton,60,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
20.32,44.5,54,6.28,1.41,0.68,241,35,207,29.45,2.04,6.14,Silty,Soybean,71,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
24.26,63.73,19,4.69,1.71,0.43,126,5,65,6.97,2.44,9.35,Laterite,Sugarcane,38,Poor,NPK 10-26-26,150,Improve deficient nutrients.
24.45,42.02,47,6.31,0.94,1.17,298,54,245,9.21,1.52,6.67,Clay,Sugarcane,84,Excellent,Compost,500,Maintain soil organic matter.
24.53,31.8,30,4.79,2.14,0.37,75,14,41,7.35,0.96,7.71,Laterite,Millet,20,Poor,DAP,150,Improve deficient nutrients.
37.4,77.73,44,5.84,0.69,0.61,292,20,134,28.02,1.15,7.3,Clay,Tomato,66,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
18.21,50.08,56,6.72,1.07,0.72,268,20,147,7.56,1.61,4.63,Sandy,Groundnut,74,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
21.97,37.2,19,5.38,2.14,0.22,100,17,41,16.38,1.08,2.77,Red,Millet,40,Poor,Vermicompost,150,Improve deficient nutrients.
26.37,93.55,47,6.03,1.33,0.53,228,32,123,20.71,0.58,3.32,Silty,Soybean,73,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
26.84,55.64,24,8.06,2.63,0.13,130,13,50,11.41,2.28,5.2,Red,Millet,51,Poor,MOP,150,Improve deficient nutrients.
27.33,94.13,60,6.72,0.91,1.14,384,33,238,18.2,2.38,9.85,Silty,Rice,91,Excellent,Compost,500,Maintain soil organic matter.
35.56,84.9,59,6.3,0.35,0.94,372,43,263,22.46,0.39,4.67,Clay,Groundnut,97,Excellent,Compost,500,Maintain soil organic matter.
39.35,64.7,63,6.95,0.79,1.21,359,48,319,25.72,2.39,8.83,Sandy,Sugarcane,91,Excellent,Compost,500,Maintain soil organic matter.
39.96,81.17,39,6.79,1.07,0.87,235,25,133,17.51,1.46,7.29,Loamy,Groundnut,73,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
20.84,67.37,18,4.98,1.57,0.33,110,6,44,18.84,0.73,2.95,Black,Potato,43,Poor,MOP,150,Improve deficient nutrients.
38.15,65.9,36,6.91,1.21,0.87,242,32,151,8.3,1.91,7.82,Laterite,Rice,74,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
26.41,45.53,58,6.98,0.69,0.53,224,34,217,24.11,2.16,6.62,Silty,Tomato,66,Healthy,DAP,100,Correct moderate nutrient imbalance.
34.56,35.21,38,7.61,1.47,0.62,259,23,120,28.28,2.19,4.26,Laterite,Millet,71,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
32.75,42.68,39,6.56,1.5,0.78,249,31,174,8.83,0.62,5.71,Black,Rice,74,Healthy,DAP,100,Correct moderate nutrient imbalance.
27.2,35.89,54,6.11,1.13,0.79,299,29,174,24.04,2.21,7.27,Silty,Soybean,64,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
39.91,67.6,55,6.44,0.5,1.3,356,40,318,20.82,1.08,4.92,Clay,Sugarcane,81,Excellent,Compost,500,Maintain soil organic matter.
21.59,32.34,46,6.73,0.66,0.83,258,25,122,29.76,1.98,4.23,Clay,Wheat,70,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
18.02,93.76,53,6.66,0.89,0.77,266,16,192,13.88,2.46,3.14,Black,Tomato,62,Healthy,DAP,100,Correct moderate nutrient imbalance.
22.91,65.84,56,6.18,1.48,0.84,206,32,184,16.35,2.25,7.6,Silty,Tomato,73,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
38.69,33.2,36,4.98,1.67,0.2,127,8,45,19.75,2.13,8.13,Silty,Rice,35,Poor,Vermicompost,150,Improve deficient nutrients.
21.78,35.35,56,5.8,1.36,0.7,240,24,187,21.11,0.46,3.84,Sandy,Soybean,73,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
28.95,63.04,36,5.37,2.53,0.17,88,16,77,25.03,0.51,2.11,Red,Tomato,50,Poor,NPK 10-26-26,150,Improve deficient nutrients.
19.08,92.39,21,5.44,2.7,0.43,162,12,113,26.79,0.4,5.35,Red,Groundnut,31,Poor,NPK 10-26-26,150,Improve deficient nutrients.
26.46,63.44,58,6.69,0.72,0.67,235,34,205,17.68,0.33,5.99,Clay,Wheat,76,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
21.7,47.45,65,6.5,0.59,1.29,410,43,183,7.46,0.73,6.7,Silty,Tomato,94,Excellent,Compost,500,Maintain soil organic matter.
23.83,52.66,39,8.69,2.38,0.44,89,9,66,23.53,0.23,2.95,Red,Millet,46,Poor,Vermicompost,150,Improve deficient nutrients.
33.46,45.37,48,6.0,1.06,0.79,190,29,207,13.35,2.12,8.24,Loamy,Sugarcane,73,Healthy,DAP,100,Correct moderate nutrient imbalance.
38.7,57.57,43,7.08,1.3,0.85,204,15,172,6.48,1.62,4.24,Clay,Wheat,64,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
29.0,87.7,67,6.91,0.93,1.44,419,60,287,9.17,0.41,9.83,Red,Potato,83,Excellent,Compost,500,Maintain soil organic matter.
24.53,64.18,56,6.37,1.22,0.82,243,23,128,11.77,1.16,8.21,Clay,Tomato,65,Healthy,DAP,100,Correct moderate nutrient imbalance.
33.72,67.77,54,6.32,0.62,1.18,411,50,190,23.23,0.99,9.26,Red,Maize,96,Excellent,Compost,500,Maintain soil organic matter.
31.68,32.05,69,6.37,0.21,0.92,336,31,201,6.22,0.45,2.75,Loamy,Cotton,86,Excellent,Compost,500,Maintain soil organic matter.
37.12,74.75,60,7.08,0.64,0.86,332,45,208,6.62,2.09,8.79,Clay,Groundnut,92,Excellent,Compost,500,Maintain soil organic matter.
25.99,78.2,34,8.96,1.65,0.12,52,6,109,17.39,0.23,8.85,Sandy,Millet,41,Poor,Urea,150,Improve deficient nutrients.
29.74,70.35,36,6.05,1.24,0.52,210,24,141,13.05,2.1,5.38,Red,Maize,71,Healthy,DAP,100,Correct moderate nutrient imbalance.
23.71,46.32,22,8.02,2.06,0.24,112,12,62,16.69,1.77,6.61,Clay,Groundnut,44,Poor,Vermicompost,150,Improve deficient nutrients.
27.36,45.61,29,5.06,2.94,0.36,146,10,84,23.01,1.55,3.07,Black,Millet,51,Poor,DAP,150,Improve deficient nutrients.
32.68,72.99,59,6.23,0.58,0.85,397,38,195,29.08,1.68,7.71,Silty,Maize,88,Excellent,Compost,500,Maintain soil organic matter.
24.93,72.4,65,6.73,0.46,1.35,379,40,214,11.78,1.64,4.78,Red,Rice,94,Excellent,Compost,500,Maintain soil organic matter.
34.06,54.54,64,6.64,0.22,1.25,393,51,201,8.21,0.55,2.72,Red,Millet,96,Excellent,Compost,500,Maintain soil organic matter.
37.81,67.51,26,4.53,2.55,0.28,95,8,48,18.27,0.57,3.58,Black,Millet,50,Poor,NPK 10-26-26,150,Improve deficient nutrients.
36.73,77.23,22,5.13,1.52,0.36,103,5,78,17.82,0.8,8.49,Silty,Rice,42,Poor,DAP,150,Improve deficient nutrients.
18.22,64.99,50,7.2,0.94,0.85,343,40,215,28.69,0.96,2.75,Red,Soybean,90,Excellent,Compost,500,Maintain soil organic matter.
21.43,39.22,54,7.46,0.97,0.89,212,17,208,12.27,0.84,6.75,Sandy,Maize,64,Healthy,DAP,100,Correct moderate nutrient imbalance.
37.63,60.56,48,6.7,0.86,0.94,331,55,221,17.55,1.78,9.72,Laterite,Tomato,100,Excellent,Compost,500,Maintain soil organic matter.
38.13,43.93,53,6.06,0.9,0.66,222,21,120,29.94,2.4,9.97,Loamy,Tomato,64,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
29.86,88.73,59,6.31,0.48,1.39,397,44,257,22.67,1.08,3.41,Black,Cotton,96,Excellent,Compost,500,Maintain soil organic matter.
35.17,53.43,46,6.96,0.61,1.36,298,47,305,9.43,0.34,7.49,Sandy,Wheat,85,Excellent,Compost,500,Maintain soil organic matter.
18.77,72.82,29,8.67,2.31,0.44,176,8,93,22.66,0.93,2.29,Red,Cotton,52,Poor,DAP,150,Improve deficient nutrients.
28.75,88.4,17,8.09,2.0,0.2,88,12,95,16.1,0.66,8.4,Loamy,Groundnut,57,Poor,MOP,150,Improve deficient nutrients.
34.93,76.91,60,7.19,0.91,1.38,318,59,191,26.11,2.36,2.32,Sandy,Millet,81,Excellent,Compost,500,Maintain soil organic matter.
25.53,84.41,47,6.13,1.18,0.76,265,28,146,20.97,0.26,9.48,Loamy,Maize,61,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
19.23,63.75,39,5.33,1.86,0.36,133,10,83,15.59,1.66,5.76,Red,Tomato,31,Poor,DAP,150,Improve deficient nutrients.
28.55,42.91,23,4.78,2.5,0.11,172,10,70,20.14,2.29,4.86,Sandy,Soybean,59,Poor,MOP,150,Improve deficient nutrients.
27.49,53.99,51,6.68,0.22,0.83,291,45,265,24.97,1.35,2.7,Clay,Maize,92,Excellent,Compost,500,Maintain soil organic matter.
20.25,62.6,52,6.51,1.0,1.47,395,41,229,10.39,0.49,9.59,Silty,Potato,87,Excellent,Compost,500,Maintain soil organic matter.
32.75,84.3,24,4.64,1.69,0.17,77,17,108,26.92,0.84,7.68,Loamy,Sugarcane,44,Poor,Urea,150,Improve deficient nutrients.
31.96,64.51,20,8.04,2.87,0.29,158,5,46,16.93,0.25,8.74,Clay,Soybean,27,Poor,DAP,150,Improve deficient nutrients.
33.02,49.11,22,5.04,1.71,0.38,125,9,65,24.03,1.21,6.83,Sandy,Potato,37,Poor,DAP,150,Improve deficient nutrients.
36.38,71.84,48,6.29,0.96,1.46,394,45,230,19.74,1.32,8.06,Clay,Groundnut,88,Excellent,Compost,500,Maintain soil organic matter.
19.5,49.38,54,7.15,0.68,1.26,282,54,240,21.32,1.46,5.1,Red,Tomato,100,Excellent,Compost,500,Maintain soil organic matter.
36.21,57.47,67,7.13,0.85,1.45,300,40,276,7.2,0.32,6.0,Laterite,Cotton,87,Excellent,Compost,500,Maintain soil organic matter.
33.51,87.66,68,6.22,0.91,1.44,343,56,289,7.83,1.7,4.86,Black,Sugarcane,97,Excellent,Compost,500,Maintain soil organic matter.
33.95,30.58,63,6.53,0.24,1.01,327,43,230,25.58,1.38,5.21,Red,Groundnut,87,Excellent,Compost,500,Maintain soil organic matter.
36.63,53.79,19,5.15,2.39,0.39,155,13,70,18.04,1.59,8.96,Sandy,Maize,51,Poor,NPK 10-26-26,150,Improve deficient nutrients.
35.0,83.58,50,7.33,0.58,0.82,204,33,147,6.73,2.01,4.8,Loamy,Rice,70,Healthy,DAP,100,Correct moderate nutrient imbalance.
27.76,64.55,52,7.01,0.5,1.4,281,43,202,26.46,2.23,7.51,Black,Tomato,99,Excellent,Compost,500,Maintain soil organic matter.
24.97,67.88,24,8.86,1.62,0.36,125,14,77,25.12,0.77,2.75,Loamy,Groundnut,50,Poor,Vermicompost,150,Improve deficient nutrients.
24.95,37.93,56,6.73,1.32,0.55,290,15,145,8.8,0.82,6.34,Silty,Wheat,78,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
19.5,49.97,28,8.28,2.08,0.4,51,18,91,27.22,1.11,9.82,Sandy,Cotton,43,Poor,NPK 10-26-26,150,Improve deficient nutrients.
37.28,60.82,63,6.87,0.8,1.23,362,33,249,28.54,1.78,8.91,Laterite,Tomato,82,Excellent,Compost,500,Maintain soil organic matter.
39.59,51.6,58,6.53,0.94,0.76,222,23,190,9.24,0.23,8.2,Laterite,Cotton,77,Healthy,DAP,100,Correct moderate nutrient imbalance.
18.2,87.79,48,7.78,0.56,0.59,247,31,122,29.08,1.98,9.2,Loamy,Maize,62,Healthy,DAP,100,Correct moderate nutrient imbalance.
27.2,79.54,48,6.46,0.78,1.31,412,41,196,25.8,2.21,5.38,Clay,Groundnut,100,Excellent,Compost,500,Maintain soil organic matter.
19.23,89.46,34,5.41,1.66,0.4,131,12,78,16.54,1.36,3.65,Silty,Rice,43,Poor,DAP,150,Improve deficient nutrients.
38.8,50.55,60,7.7,1.44,0.56,184,15,210,20.13,1.12,6.48,Clay,Cotton,76,Healthy,DAP,100,Correct moderate nutrient imbalance.
25.71,37.92,36,8.65,1.77,0.35,50,12,89,6.56,0.67,5.53,Laterite,Maize,54,Poor,MOP,150,Improve deficient nutrients.
32.14,44.78,60,6.72,0.52,0.67,282,28,196,10.72,1.0,4.52,Black,Rice,64,Healthy,DAP,100,Correct moderate nutrient imbalance.
33.08,55.11,47,7.14,0.99,0.6,187,32,126,7.34,1.3,2.16,Clay,Cotton,77,Healthy,DAP,100,Correct moderate nutrient imbalance.
19.73,58.27,54,5.92,0.91,0.71,269,34,180,23.77,2.19,3.53,Sandy,Groundnut,60,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
20.49,93.98,67,6.5,0.39,0.99,392,27,304,18.45,2.01,8.64,Black,Sugarcane,98,Excellent,Compost,500,Maintain soil organic matter.
23.29,49.03,59,6.15,1.42,0.54,240,16,195,10.33,2.12,4.3,Red,Soybean,73,Healthy,DAP,100,Correct moderate nutrient imbalance.
31.22,60.22,53,6.3,0.92,1.32,308,33,189,10.44,2.32,7.42,Red,Rice,81,Excellent,Compost,500,Maintain soil organic matter.
20.63,38.8,47,7.29,0.54,0.64,232,33,166,7.9,1.24,9.94,Silty,Wheat,62,Healthy,DAP,100,Correct moderate nutrient imbalance.
21.08,89.55,54,6.28,0.81,1.49,345,46,270,12.96,1.12,4.26,Red,Rice,92,Excellent,Compost,500,Maintain soil organic matter.
22.35,48.55,56,6.06,1.4,0.63,270,22,183,17.56,0.95,4.27,Loamy,Cotton,74,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
38.42,43.31,68,6.6,0.83,1.07,315,54,187,7.72,0.59,6.43,Black,Potato,99,Excellent,Compost,500,Maintain soil organic matter.
34.62,52.4,32,8.78,2.28,0.26,58,12,45,6.44,2.47,8.04,Black,Tomato,41,Poor,NPK 10-26-26,150,Improve deficient nutrients.
19.39,72.9,25,8.55,2.37,0.13,173,6,72,10.0,2.43,5.18,Red,Wheat,24,Poor,MOP,150,Improve deficient nutrients.
34.37,69.2,66,6.98,0.61,1.41,389,30,233,29.89,1.05,5.81,Black,Soybean,99,Excellent,Compost,500,Maintain soil organic matter.
19.47,38.85,57,7.34,0.86,0.51,183,19,125,27.22,1.28,8.01,Laterite,Potato,62,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
27.54,92.07,53,7.5,0.69,0.75,242,20,215,27.52,0.34,6.59,Silty,Wheat,77,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
21.16,51.45,68,6.82,0.72,1.49,356,29,291,6.69,2.28,5.29,Laterite,Millet,93,Excellent,Compost,500,Maintain soil organic matter.
26.85,94.94,39,7.76,1.09,0.54,212,18,182,18.5,1.89,7.45,Loamy,Maize,75,Healthy,DAP,100,Correct moderate nutrient imbalance.
25.79,84.28,29,4.61,2.53,0.42,107,13,55,5.36,1.3,6.41,Clay,Maize,57,Poor,MOP,150,Improve deficient nutrients.
